v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
F0630888-0001,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006422_2.webp,https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006422_2.webp","Accappatoio Bambina Caleffi Disney""Minnie Fiocco&#8221; In Cotone 100% Con Cappuccio","<p>Minnie Fiocco e\&#8217; ideale per concludere una rigenerante doccia o un rilassante bagno. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;, Minnie Fiocco &#232; durevole e altamente assorbente. Scegli Ora Minnie Fiocco per la tua casa, e riscopri i tuoi piccoli momenti di piacere.</p>
<p><span style=\""font-family: Georgia;font-size: large\""><strong>Marca:</strong>?Disney<br />
<strong>Art.</strong>?Minnie Fiocco<br />
<strong>Colore:</strong>?Rosa<br />
<strong>Materiale:</strong>?Spugna 100% cotone<br />
<strong>Taglia:</strong>?2-4 anni, 4-6 anni, 6-8 anni, 8-10 anni<br />
<strong>Dettagli</strong><br />
La confezione comprende un accappatoio per bambino<br />
Dotato di cappuccio, due tasche laterali e cinturino<br />
Morbida spugna di puro cotone, assorbente e salvaspazio<br />
Stampa di Minnie<br />
Confezionato in una scatola<br />
<strong>Indicazioni per il lavaggio:</strong>?Lavaggio a 40&#176;C</span></p>
			</div>",,55,,,92,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0002,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006424_2.webp,https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006424_2.webp","Accappatoio Bambina Caleffi Disney""Princess Belle&#8221; In Cotone 100% Con Cappuccio","<p>Princess Belle e\&#8217; ideale per concludere una rigenerante doccia o un rilassante bagno. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;,?Princess Belle?&#232; durevole e altamente assorbente. Scegli Ora?Princess Belle?per la tua casa, e riscopri i tuoi piccoli momenti di piacere.</p>
<p><span style=\""font-family: Georgia;font-size: large\""><strong>Marca:</strong>?Disney<br />
<strong>Art.</strong>?Princess Belle<br />
<strong>Colore:</strong>?Rosa<br />
<strong>Materiale:</strong>?Spugna 100% cotone<br />
<strong>Taglia:</strong>?2-4 anni, 4-6 anni, 6-8 anni, 8-10 anni<br />
<strong>Dettagli</strong><br />
La confezione comprende un accappatoio per bambino<br />
Dotato di cappuccio, due tasche laterali e cinturino<br />
Morbida spugna di puro cotone, assorbente e salvaspazio<br />
Stampa Principess Belle<br />
Confezionato in una scatola<br />
<strong>Indicazioni per il lavaggio:</strong>?Lavaggio a 40&#176;C</span></p>
			</div>",,55,,,92,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0003,1,"https://www.italiamagazzini.it/wp-content/uploads/2022/09/cd5cb815-30cf-4789-b135-c6e53cb8b690.jpg,https://www.italiamagazzini.it/wp-content/uploads/2022/09/cd5cb815-30cf-4789-b135-c6e53cb8b690.jpg",Accappatoio Bambino Bambina Irge Con Cappuccio 100% Spugna Di Cotone,"<p>Marca: Irge</p>
<p>Colori: Rosa/Fucsia, Fucsia/Rosa, Azzurro/Blu, Blu/Azzurro</p>
<p>Taglie: 3/4 Anni, 5/6 Anni, 7/8 Anni, 9/10 Anni, 11/12 Anni, 13/14 Anni</p>
<p>Composizione: 100% spugna di cotone</p>
<p>&nbsp;</p>
			</div>",,23,,,39,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0004,1,"https://www.italiamagazzini.it/wp-content/uploads/2022/09/accappatoio-bambinoa-giglio-navigare.jpg,https://www.italiamagazzini.it/wp-content/uploads/2022/09/accappatoio-bambinoa-giglio-navigare.jpg",Accappatoio Bambino Bambina Navigare Cappuccio 100% Spugna Di Cotone Con Ricamo,"<p>Accappatoio da bambino in spugna di cotone con cappuccio e logo ricamato.</p>
<p><strong>Marca:?</strong>Navigare</p>
<p><strong>Articolo:</strong>?Giglio</p>
<p><strong>Colori:</strong>?Azzurro, Fucsia, Royal, Rosa;</p>
<p><strong>Taglie:</strong>?4/6 Anni, 6/8 Anni, 8/10 Anni, 10/12 Anni, 12/14 Anni, 14/16 Anni</p>
<p><strong>Composizione:?</strong>100% spugna di cotone</p>
<p><strong>Spugna:</strong>?400 gr./mq</p>
			</div>",,34,,,57,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0005,1,"https://www.italiamagazzini.it/wp-content/uploads/2022/08/1358301_144206_550.jpg,https://www.italiamagazzini.it/wp-content/uploads/2022/08/1358301_144206_550.jpg,https://www.italiamagazzini.it/wp-content/uploads/2022/08/1358300_144205_550.jpg",Accappatoio Bambino Bambina Sommaruga Con Cappuccio 100% Spugna Di Cotone,"<p><b>Marca:?</b>Sommaruga</p>
<p><b>Colori:</b>?Fucsia/Rosa, Azzurro/Blu Royal</p>
<p><b>Taglie:</b>?4/6 anni, 6/8 anni, 8/10 anni, 10/12 anni, 12/14 anni</p>
<p><b>Composizione:?</b>100% spugna di cotone</p>
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\"">
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\"">
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\"">
<div>
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\"">
<div>
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\"">
<div id=\""&quot;&quot;&quot;&quot;ds_div&quot;&quot;&quot;&quot;\""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
			</div>",,23,,,39,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0006,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006425_2.webp,https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006425_2.webp","Accappatoio Bambino Caleffi Disney""Cars Speed&#8221; In Cotone 100% Con Cappuccio","<p>Cars Speed e\&#8217; ideale per concludere una rigenerante doccia o un rilassante bagno. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;, Cars Speed &#232; durevole e altamente assorbente.</p>
<p><strong>Marca:</strong>?Disney<br />
<strong>Art.</strong>?Cars Speed<br />
<strong>Colore:</strong>?Rosso<br />
<strong>Materiale:</strong>?Spugna 100% cotone<br />
<strong>Taglia:</strong>?2-4 anni, 4-6 anni, 6-8 anni, 8-10 anni<br />
<strong>Dettagli</strong><br />
La confezione comprende un accappatoio per bambino<br />
Dotato di cappuccio, due tasche laterali e cinturino<br />
Morbida spugna di puro cotone, assorbente e salvaspazio<br />
Stampa di Cars<br />
Confezionato in una scatola<br />
<strong>Indicazioni per il lavaggio:</strong>?Lavaggio a 40&#176;C</p>
			</div>",,55,,,92,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0007,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006423_2.webp,https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006423_2.webp","Accappatoio Bambino Caleffi Disney""Mickey Star&#8221; In Cotone 100% Con Cappuccio","<p><span style=\""font-family: Georgia;font-size: large\"">Mickey Star e\&#8217; ideale per concludere una rigenerante doccia o un rilassante bagno. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;, Mickey Star &#232; durevole e altamente assorbente.</span></p>
<p><span style=\""font-family: Georgia;font-size: large\""><strong>Marca:</strong>?Disney<br />
<strong>Art.</strong>?Mickey Star<br />
<strong>Colore:</strong>?Azzurro<br />
<strong>Materiale:</strong>?Spugna 100% cotone<br />
<strong>Taglia:</strong>?2-4 anni, 4-6 anni, 6-8 anni, 8-10 anni<br />
<strong>Dettagli</strong><br />
La confezione comprende un accappatoio per bambino<br />
Dotato di cappuccio, due tasche laterali e cinturino<br />
Morbida spugna di puro cotone, assorbente e salvaspazio<br />
Stampa di Mickey Mouse<br />
Confezionato in una scatola<br />
<strong>Indicazioni per il lavaggio:</strong>?Lavaggio a 40&#176;C</span></p>
			</div>",,55,,,92,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0008,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006439_2.webp,https://www.italiamagazzini.it/wp-content/uploads/2023/03/1006439_2.webp",Accappatoio Bambino Caleffi Marvel Spider-Man Power In Cotone 100% Con Cappuccio,"<p><span style=\""font-family: Georgia;font-size: large\"">Spider man Power e\&#8217; ideale per concludere una rigenerante doccia o un rilassante bagno. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;, Spider man Power &#232; durevole e altamente assorbente</span></p>
<p><span style=\""font-family: Georgia;font-size: large\""><strong>Marca:</strong>?Marvel<br />
<strong>Art.</strong>?Spider-man Power<br />
<strong>Colore:</strong>?Blu<br />
<strong>Materiale:</strong>?Spugna 100% cotone<br />
<strong>Taglia:</strong>?2-4 anni, 4-6 anni, 6-8 anni, 8-10 anni<br />
<strong>Dettagli</strong><br />
La confezione comprende un accappatoio per bambino<br />
Dotato di cappuccio, due tasche laterali e cinturino<br />
Morbida spugna di puro cotone, assorbente e salvaspazio<br />
Stampa di Spider-man<br />
Confezionato in una scatola<br />
<strong>Indicazioni per il lavaggio:</strong>?Lavaggio a 40&#176;C</span></p>
			</div>",,55,,,92,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0009,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/01/s-l1600-2.png,https://www.italiamagazzini.it/wp-content/uploads/2023/01/s-l1600-2.png",Accappatoio Caleffi Minorca Calibrato Oversize Con Cappuccio In Spugna 400gr,"<div><span style=\""font-family: Arial;font-size: large\""><b>Marca:?</b>Caleffi</span></div>
<div><span style=\""font-family: Arial;font-size: large\""><b>Colori:?</b></span><span style=\""font-family: Arial;font-size: large\"">Blu, Sabbia, Azalea, Perla</span><span style=\""font-size: large\"">?</span></div>
<div><span style=\""font-family: Arial;font-size: large\""><b>Tessuto:?</b>Cotone</span></div>
<div><span style=\""font-family: Arial;font-size: large\""><b>Grammatura:?</b>400 gr/mq</span></div>
<div><span style=\""font-family: Arial;font-size: large\""><b>Taglia:?</b>Calibrata</span></div>
			</div>",,48,,,80,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
F0630888-0010,1,"https://www.italiamagazzini.it/wp-content/uploads/2023/01/s-l1600.png,https://www.italiamagazzini.it/wp-content/uploads/2023/01/s-l1600.png",Accappatoio Con Cappuccio Caleffi &#8220;Minorca&#8221; Di Puro Cotone Con Tasche,"<div>Minorca &#232; l\&#8217;elemento essenziale per il tuo momento di relax. Dotato di cappuccio e di cintura &#232; pratico e confortevole. Grazie al tessuto di Cotone di altissima qualit&#224;, Minorca &#232; durevole e altamente assorbente.</div>
<div><b>?</b></div>
<div><b>Marca:?</b>Caleffi</div>
<div><b>Colori:</b>?Bianco, Acqua, Indigo, Blu, Perla, Sabbia, Vaniglia, Giallo Sole, Arancione, Topazio, Caff&#232;, Lavanda, Bordeaux, Confetto, Azalea, Ciclamino, Menta, Verde, Antracite, Nero.</div>
<div><b>Tessuto:?</b>Cotone</div>
<div><b>Grammatura:?</b>400 gr/mq</div>
<div><b>Taglie:?</b>S, M, L, XL, 2XL, 3XL</div>
			</div>",,36,,,60,0,0,0,1,1,0,0,,2023-5-31 0:00,999,,Accappatoi^Accappatoi Donna^Accappatoi Uomo^Accappatoi Bambino^Accappatoi Bambina,--none--,1,0,0,0,0,0,,,
